ï»¿District Name,School Code,School Name,Year,SBE District,EVAAS Growth Status,Percent Participation,ACT Percent,ACT WorkKeys Percent,Passing Math III Percent,4-Year Cohort Graduation Rate Percent,5-Year Cohort Graduation Rate Percent,Graduation Project,EVAAS Growth Index,Percent Participation Targets Met,Passing NC Math 3 Percent
State of North Carolina,NC,State of North Carolina,'15-'16,,,94.9,59.9,73.5,>95,85.9,87.5,,,,
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'15-'16,Southwest Region,,86.6,60.3,76.1,>95,89.6,89.5,,,,
Charlotte-Mecklenburg Schools,600302,Ardrey Kell High,'15-'16,Southwest Region,Exceeded,100.0,90.6,92.4,>95,>95,>95,Y,,,
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,'15-'16,Southwest Region,Exceeded,95.1,81.1,91.2,>95,93.8,93,Y,,,
Charlotte-Mecklenburg Schools,600334,Cato Middle College High,'15-'16,Southwest Region,,66.7,89.7,*,>95,>95,>95,Y,,,
Charlotte-Mecklenburg Schools,600341,Cochrane Collegiate Academy,'15-'16,Southwest Region,Met,91.3,50,*,>95,84.8,86.7,Y,,,
Charlotte-Mecklenburg Schools,600361,Butler High,'15-'16,Southwest Region,Exceeded,92.5,63.1,77.9,>95,92.7,92.9,Y,,,
Charlotte-Mecklenburg Schools,600364,Military and Global Leadership Academy,'15-'16,Southwest Region,Met,95.8,63.6,*,>95,>95,>95,Y,,,
Charlotte-Mecklenburg Schools,600377,East Mecklenburg High,'15-'16,Southwest Region,Exceeded,91.1,61.5,82.5,>95,88.8,92.2,Y,,,
Charlotte-Mecklenburg Schools,600386,Hawthorne High,'15-'16,Southwest Region,Met,100.0,57.9,*,>95,82.1,71.7,Y,,,
Charlotte-Mecklenburg Schools,600397,Garinger High,'15-'16,Southwest Region,Exceeded,36.4,27.6,50,>95,80.1,90.5,Y,,,
Charlotte-Mecklenburg Schools,600405,Harding University High,'15-'16,Southwest Region,NotMet,54.5,23.5,66.7,>95,75.8,80.6,Y,,,
Charlotte-Mecklenburg Schools,600415,Hopewell High,'15-'16,Southwest Region,NotMet,94.6,46.1,82,>95,91.9,89.3,Y,,,
Charlotte-Mecklenburg Schools,600426,Independence High,'15-'16,Southwest Region,Exceeded,85.1,55.3,91,93.5,91.2,91.3,Y,,,
Charlotte-Mecklenburg Schools,600443,Levine Middle College High,'15-'16,Southwest Region,,100.0,94.7,*,>95,>95,>95,Y,,,
Charlotte-Mecklenburg Schools,600445,Mallard Creek High,'15-'16,Southwest Region,Exceeded,81.8,60.4,75.2,>95,>95,>95,Y,,,
Charlotte-Mecklenburg Schools,600457,Rocky River High,'15-'16,Southwest Region,NotMet,81.8,28.1,57.4,>95,89,93,Y,,,
