District Name,School Code,School Name,SBE District,EVAAS Growth Status,EVAAS Growth Index,Percent Participation Targets Met,ACT Percent,ACT WorkKeys Percent,Passing NC Math 3 Percent,4-Year Cohort Graduation Rate Percent,5-Year Cohort Graduation Rate Percent,Graduation Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010396,Walter M Williams High,Piedmont-Triad,Exceeded,7.63,92.5,51.4,70.3,93.5,90.3,89.8,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010400,Western Alamance High,Piedmont-Triad,NotMet,-5.9,92.1,56.3,60.4,>95,91.8,88.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010403,Western Middle,Piedmont-Triad,Exceeded,5.85,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010406,Woodlawn Middle,Piedmont-Triad,Exceeded,4.49,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander County Schools,020,Alexander County Schools,Northwest,,,100.0,65.2,66.7,93.7,86.2,86.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander County Schools,020302,Alexander Central High,Northwest,Met,-1.48,100.0,65.2,66.7,93.7,86.2,86.3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander County Schools,020303,Alexander Early College,Northwest,Met,-0.19,100.0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander County Schools,020304,Bethlehem Elementary,Northwest,Met,1.91,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander County Schools,020306,East Alexander Middle,Northwest,Met,-1.33,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander County Schools,020308,Ellendale Elementary,Northwest,NotMet,-3.25,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander County Schools,020316,Hiddenite Elementary,Northwest,NotMet,-2.05,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander County Schools,020320,Stony Point Elementary,Northwest,Exceeded,2.8,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander County Schools,020324,Sugar Loaf Elementary,Northwest,Met,-0.57,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander County Schools,020328,Taylorsville Elementary,Northwest,Met,0.37,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander County Schools,020330,West Alexander Middle,Northwest,Met,0.65,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander County Schools,020332,Wittenburg Elementary,Northwest,Met,1.52,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alleghany County Schools,030,Alleghany County Schools,Northwest,,,100.0,55.1,67.1,>95,86.3,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alleghany County Schools,030304,Alleghany High,Northwest,NotMet,-6.5,100.0,55.1,67.1,>95,86.3,85.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alleghany County Schools,030308,Glade Creek Elementary,Northwest,Met,0.68,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alleghany County Schools,030316,Piney Creek Elementary,Northwest,NotMet,-2.41,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alleghany County Schools,030320,Sparta Elementary,Northwest,NotMet,-6.29,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anson County Schools,040,Anson County Schools,Southwest,,,90.7,36.6,54.3,>95,79.9,84.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anson County Schools,040304,Anson Co. Early College High,Southwest,Met,-0.72,100.0,71.1,,>95,92.3,>95,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anson County Schools,040305,Anson Academy,Southwest,NotMet,-2.42,100.0,*,*,>95,70.8,69.0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anson County Schools,040306,Anson High School,Southwest,Met,-1.32,92.3,29.4,55.8,>95,84.4,89.0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anson County Schools,040308,Ansonville Elementary,Southwest,Exceeded,2.73,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anson County Schools,040309,Anson Middle,Southwest,NotMet,-4.63,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anson County Schools,040311,Wadesboro Primary,Southwest,Met,-0.85,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anson County Schools,040316,Lilesville Elementary,Southwest,Met,0.99,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anson County Schools,040324,Morven Elementary,Southwest,Met,-1.35,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anson County Schools,040328,Peachland-Polkton Elem,Southwest,Met,0.74,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anson County Schools,040330,Wadesboro Elementary,Southwest,Met,0.84,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anson County Schools,040700,Anson New Tech High,Southwest,Met,1.72,80.0,25.0,*,>95,88.2,86.8,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashe County Schools,050,Ashe County Schools,Northwest,,,100.0,69.4,76.3,90.4,87.8,87.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashe County Schools,050302,Ashe County High,Northwest,NotMet,-5.66,100.0,69.4,76.3,90.4,87.8,87.2,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashe County Schools,050305,Ashe County Middle,Northwest,NotMet,-2.73,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashe County Schools,050310,Blue Ridge Elementary,Northwest,Exceeded,2.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashe County Schools,050330,Mountain View Elementary,Northwest,Exceeded,5.17,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashe County Schools,050335,Westwood Elementary,Northwest,Exceeded,5.05,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery County Schools,060,Avery County Schools,Northwest,,,97.7,56.7,79.7,>95,>95,>95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery County Schools,060302,Avery County High,Northwest,Met,-0.86,100.0,27.4,78.3,>95,>95,>95,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery County Schools,060304,Banner Elk Elementary,Northwest,Met,0.56,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery County Schools,060310,Cranberry Middle,Northwest,Met,0.75,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery County Schools,060316,Crossnore Elementary,Northwest,Exceeded,5.21,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery County Schools,060318,Avery Middle,Northwest,NotMet,-3.86,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery County Schools,060322,Freedom Trail Elementary,Northwest,Exceeded,5.15,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery County Schools,060328,Newland Elementary,Northwest,Exceeded,2.03,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery County Schools,060332,Riverside Elementary,Northwest,Met,1.46,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery County Schools,060334,Blue Ridge Academy,Northwest,,,,*,*,*,80.0,86.4,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery County Schools,060700,Avery High STEM Academy,Northwest,Met,1.02,100.0,90.3,*,>95,>95,>95,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery County Schools,060701,Avery High Viking Academy,Northwest,Met,-1.05,100.0,,,,*,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort County Schools,070,Beaufort County Schools,Northeast,,,94.0,51.5,77.7,>95,80.6,85.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort County Schools,070302,Eastern Elementary,Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort County Schools,070308,Bath Elementary,Northeast,NotMet,-2.93,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort County Schools,070310,B C Ed Tech Center,Northeast,NotMet,-2.36,100.0,<5,*,>95,70.4,80.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort County Schools,070311,Beaufort Co Early College High,Northeast,Exceeded,4.42,100.0,>95,*,>95,>95,>95,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort County Schools,070325,Chocowinity Middle,Northeast,NotMet,-2.16,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort County Schools,070326,Chocowinity Primary,Northeast,Met,1.55,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort County Schools,070327,John C Tayloe Elementary,Northeast,Exceeded,3.99,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort County Schools,070328,John Small Elementary,Northeast,NotMet,-6.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort County Schools,070329,Northeast Elementary,Northeast,Met,1.1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort County Schools,070330,Northside High,Northeast,NotMet,-7.43,100.0,64.2,79.6,>95,90.9,89.6,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort County Schools,070338,P S Jones Middle,Northeast,Met,1.49,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort County Schools,070339,Southside High,Northeast,NotMet,-5.95,95.8,41.7,81.6,>95,84.0,90.1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort County Schools,070340,S W Snowden Elementary,Northeast,Met,1.25,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort County Schools,070342,Washington High,Northeast,NotMet,-10.22,90.9,42.0,71.4,>95,82.3,83.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bertie County Schools,080,Bertie County Schools,Northeast,,,100.0,34.7,46.8,>95,84.8,83.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bertie County Schools,080311,Bertie Early College High,Northeast,Met,-1.32,100.0,80.6,66.7,>95,>95,>95,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bertie County Schools,080312,Bertie High,Northeast,NotMet,-5.49,100.0,12.2,35.2,>95,79.5,82.2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bertie County Schools,080314,Bertie Middle,Northeast,Exceeded,3.6,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bertie County Schools,080348,Aulander Elementary,Northeast,Met,1.34,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bertie County Schools,080356,West Bertie Elementary,Northeast,Exceeded,2.81,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bertie County Schools,080360,Colerain Elementary,Northeast,Exceeded,6.05,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bertie County Schools,080362,Windsor Elementary,Northeast,Exceeded,2.6,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bertie County Schools,080700,Bertie STEM High,Northeast,NotMet,-3.67,100.0,42.3,76.9,>95,>95,>95,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bladen County Schools,090,Bladen County Schools,Sandhills,,,100.0,36.5,67.3,>95,87.5,86.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bladen County Schools,090304,B T Washington Primary,Sandhills,NotMet,-5.96,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bladen County Schools,090315,Bladenboro Middle,Sandhills,Met,1.09,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bladen County Schools,090317,Bladenboro Primary,Sandhills,Met,0.97,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bladen County Schools,090318,Bladen Lakes Primary,Sandhills,Exceeded,2.58,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bladen County Schools,090320,Clarkton School of Discovery,Sandhills,Exceeded,3.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bladen County Schools,090324,Dublin Primary,Sandhills,Met,0.09,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bladen County Schools,090328,East Arcadia Elementary,Sandhills,Met,1.42,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bladen County Schools,090330,East Bladen High,Sandhills,NotMet,-2.15,100.0,36.8,62.5,>95,89.0,90.1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bladen County Schools,090332,Elizabethtown Middle,Sandhills,NotMet,-2.02,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bladen County Schools,090333,Elizabethtown Primary,Sandhills,Exceeded,2.46,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bladen County Schools,090352,Plain View Primary,Sandhills,Met,1.08,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bladen County Schools,090365,Tar Heel Middle,Sandhills,Met,-0.8,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bladen County Schools,090368,West Bladen High,Sandhills,Exceeded,2.46,100.0,36.2,70.7,>95,86.5,84.3,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunswick County Schools,100,Brunswick County Schools,Southeast,,,100.0,56.8,70.1,>95,83.8,83.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunswick County Schools,100302,Belville Elementary,Southeast,Met,-0.55,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunswick County Schools,100304,Bolivia Elementary,Southeast,NotMet,-2.96,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunswick County Schools,100307,Brunswick County Early College,Southeast,Exceeded,3.61,100.0,>95,,>95,>95,>95,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunswick County Schools,100308,Brunswick County Academy,Southeast,NotMet,-7.09,81.8,18.2,*,92.3,53.3,46.5,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
