Lea State,LEA,School State,School,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),EL
NC,Charlotte-Mecklenburg Schools,NC,South Mecklenburg High,3.70297E+11,2015,Total enrollment,F,5,56,2,404,416,593,44,1520,61,41,86
NC,Charlotte-Mecklenburg Schools,NC,West Charlotte High,3.70297E+11,2015,Students absent 15 or more school dates during school year,M,5,17,2,23,314,5,5,371,86,8,17
NC,Charlotte-Mecklenburg Schools,NC,West Charlotte High,3.70297E+11,2015,Students absent 15 or more school dates during school year,F,0,11,2,26,257,8,5,309,35,2,11
NC,Charlotte-Mecklenburg Schools,NC,West Charlotte High,3.70297E+11,2015,Total enrollment,M,5,41,2,56,725,11,11,851,160,20,47
NC,Charlotte-Mecklenburg Schools,NC,West Charlotte High,3.70297E+11,2015,Total enrollment,F,5,44,2,56,704,11,11,833,76,8,29
NC,Charlotte-Mecklenburg Schools,NC,West Mecklenburg High,3.70297E+11,2015,Students absent 15 or more school dates during school year,M,2,8,0,101,179,29,11,330,59,5,35
NC,Charlotte-Mecklenburg Schools,NC,West Mecklenburg High,3.70297E+11,2015,Students absent 15 or more school dates during school year,F,5,11,0,53,158,26,5,258,29,5,17
NC,Charlotte-Mecklenburg Schools,NC,West Mecklenburg High,3.70297E+11,2015,Total enrollment,M,8,47,0,239,647,77,29,1047,175,14,92
NC,Charlotte-Mecklenburg Schools,NC,West Mecklenburg High,3.70297E+11,2015,Total enrollment,F,8,47,2,188,599,68,35,947,70,11,59
NC,Charlotte-Mecklenburg Schools,NC,Lincoln Heights Academy,3.70297E+11,2015,Students absent 15 or more school dates during school year,M,0,0,0,2,44,5,2,53,50,0,2
NC,Charlotte-Mecklenburg Schools,NC,Lincoln Heights Academy,3.70297E+11,2015,Students absent 15 or more school dates during school year,F,0,0,0,2,8,2,0,12,11,0,0
NC,Charlotte-Mecklenburg Schools,NC,Lincoln Heights Academy,3.70297E+11,2015,Total enrollment,M,0,0,0,5,62,14,5,86,76,0,2
NC,Charlotte-Mecklenburg Schools,NC,Lincoln Heights Academy,3.70297E+11,2015,Total enrollment,F,0,0,0,2,11,5,0,18,19,0,0
NC,Charlotte-Mecklenburg Schools,NC,Providence High,3.70297E+11,2015,Students absent 15 or more school dates during school year,M,0,5,0,5,8,38,2,58,5,5,0
NC,Charlotte-Mecklenburg Schools,NC,Providence High,3.70297E+11,2015,Students absent 15 or more school dates during school year,F,0,5,0,2,5,35,0,47,5,2,0
NC,Charlotte-Mecklenburg Schools,NC,Providence High,3.70297E+11,2015,Total enrollment,M,2,116,0,50,86,719,29,1002,85,47,29
NC,Charlotte-Mecklenburg Schools,NC,Providence High,3.70297E+11,2015,Total enrollment,F,2,104,5,68,83,728,20,1010,43,38,17
NC,Charlotte-Mecklenburg Schools,NC,Hawthorne High,3.70297E+11,2015,Students absent 15 or more school dates during school year,M,0,0,0,2,2,2,0,6,0,2,2
NC,Charlotte-Mecklenburg Schools,NC,Hawthorne High,3.70297E+11,2015,Students absent 15 or more school dates during school year,F,0,0,0,8,8,2,0,18,0,0,0
NC,Charlotte-Mecklenburg Schools,NC,Hawthorne High,3.70297E+11,2015,Total enrollment,M,0,2,0,11,23,8,2,46,0,5,2
NC,Charlotte-Mecklenburg Schools,NC,Hawthorne High,3.70297E+11,2015,Total enrollment,F,2,2,0,20,65,11,2,102,0,2,0
