District Name,School Code,School Name,SBE District,EVAAS Growth Status,Percent Participation,ACT Percent,ACT WorkKeys Percent,Passing Math III Percent,4-Year Cohort Graduation Rate Percent,5-Year Cohort Graduation Rate Percent,Graduation Project
State of North Carolina,NC,State of North Carolina,,,94.9,59.9,73.5,95.0,85.9,87.5,
Alamance-Burlington Schools,010,Alamance-Burlington Schools,Piedmont Triad Region,,92.0,51.3,69.1,92.7,81.0,84.7,
Alamance-Burlington Schools,010303,Alamance-Burlington Middle College,Piedmont Triad Region,Met,100.0,82.8,,95.0,95.0,95.0,N
Alamance-Burlington Schools,010304,Alexander Wilson Elementary,Piedmont Triad Region,Exceeded,100.0,,,,,,
Alamance-Burlington Schools,010308,Altamahaw Ossipee Elem,Piedmont Triad Region,Met,100.0,,,,,,
Alamance-Burlington Schools,010310,Broadview Middle,Piedmont Triad Region,Met,92.6,,,,,,
Alamance-Burlington Schools,010311,Career Technical Education Center,Piedmont Triad Region,,,,,,,,N
Alamance-Burlington Schools,010312,Highland Elementary,Piedmont Triad Region,Met,100.0,,,,,,
Alamance-Burlington Schools,010320,E M Yoder Elementary,Piedmont Triad Region,Exceeded,100.0,,,,,,
Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont Triad Region,Met,84.2,56.7,90.8,90.5,82.6,87.6,N
Alamance-Burlington Schools,010326,Eastlawn Elementary,Piedmont Triad Region,Exceeded,100.0,,,,,,
Alamance-Burlington Schools,010328,Edwin M Holt Elementary,Piedmont Triad Region,Met,100.0,,,,,,
Alamance-Burlington Schools,010340,Elon Elementary,Piedmont Triad Region,Met,100.0,,,,,,
Alamance-Burlington Schools,010346,B Everett Jordan Elem,Piedmont Triad Region,Met,100.0,,,,,,
Alamance-Burlington Schools,010347,Garrett Elementary,Piedmont Triad Region,Met,100.0,,,,,,
Alamance-Burlington Schools,010348,Graham High,Piedmont Triad Region,Met,90.0,31.6,69.8,95.0,83.1,84.4,N
Alamance-Burlington Schools,010350,Graham Middle,Piedmont Triad Region,Exceeded,100.0,,,,,,
Alamance-Burlington Schools,010351,Grove Park Elementary,Piedmont Triad Region,Exceeded,100.0,,,,,,
Alamance-Burlington Schools,010353,Hawfields Middle,Piedmont Triad Region,Exceeded,100.0,,,,,,
Alamance-Burlington Schools,010354,Harvey R Newlin Elementary,Piedmont Triad Region,Met,100.0,,,,,,
Alamance-Burlington Schools,010357,Haw River Elementary,Piedmont Triad Region,Met,100.0,,,,,,
Alamance-Burlington Schools,010358,Hillcrest Elementary,Piedmont Triad Region,Met,100.0,,,,,,
Alamance-Burlington Schools,010360,Hugh M Cummings High,Piedmont Triad Region,Exceeded,83.9,38.4,70.8,91.5,72.5,74.2,N
Alamance-Burlington Schools,010362,Marvin B Smith Elementary,Piedmont Triad Region,Met,100.0,,,,,,
Alamance-Burlington Schools,010364,North Graham Elementary,Piedmont Triad Region,Met,100.0,,,,,,
Alamance-Burlington Schools,010372,Pleasant Grove Elementary,Piedmont Triad Region,Exceeded,100.0,,,,,,
Alamance-Burlington Schools,010374,R Homer Andrews Elementary,Piedmont Triad Region,Exceeded,100.0,,,,,,
Alamance-Burlington Schools,010378,Ray Street Academy,Piedmont Triad Region,NotMet,66.7,,,,,,N
Alamance-Burlington Schools,010380,South Graham Elementary,Piedmont Triad Region,Exceeded,100.0,,,,,,
Alamance-Burlington Schools,010384,South Mebane Elementary,Piedmont Triad Region,Exceeded,100.0,,,,,,
Alamance-Burlington Schools,010388,Southern High,Piedmont Triad Region,Exceeded,94.3,52.9,63.8,92.4,82.7,86.4,N
Alamance-Burlington Schools,010390,Southern Middle,Piedmont Triad Region,NotMet,100.0,,,,,,
Alamance-Burlington Schools,010392,Sylvan Elementary,Piedmont Triad Region,Met,100.0,,,,,,
Alamance-Burlington Schools,010394,Turrentine Middle,Piedmont Triad Region,NotMet,100.0,,,,,,
Alamance-Burlington Schools,010396,Walter M Williams High,Piedmont Triad Region,Exceeded,87.8,50.0,62.9,89.4,88.3,89.9,N
Alamance-Burlington Schools,010400,Western Alamance High,Piedmont Triad Region,NotMet,100.0,61.5,66.7,94.4,87.3,90.0,N
Alamance-Burlington Schools,010403,Western Middle,Piedmont Triad Region,NotMet,100.0,,,,,,
Alamance-Burlington Schools,010406,Woodlawn Middle,Piedmont Triad Region,Met,100.0,,,,,,
Alexander County Schools,020,Alexander County Schools,Northwest Region,,100.0,66.6,69.7,94.3,86.0,88.2,
Alexander County Schools,020302,Alexander Central High,Northwest Region,Exceeded,100.0,66.6,69.7,94.3,86.0,88.2,Y
Alexander County Schools,020304,Bethlehem Elementary,Northwest Region,Met,100.0,,,,,,
Alexander County Schools,020306,East Alexander Middle,Northwest Region,Met,100.0,,,,,,
Alexander County Schools,020308,Ellendale Elementary,Northwest Region,NotMet,100.0,,,,,,
Alexander County Schools,020316,Hiddenite Elementary,Northwest Region,NotMet,100.0,,,,,,
Alexander County Schools,020320,Stony Point Elementary,Northwest Region,Met,100.0,,,,,,
Alexander County Schools,020324,Sugar Loaf Elementary,Northwest Region,Met,100.0,,,,,,
Alexander County Schools,020328,Taylorsville Elementary,Northwest Region,Exceeded,100.0,,,,,,
Alexander County Schools,020330,West Alexander Middle,Northwest Region,Exceeded,100.0,,,,,,
Alexander County Schools,020332,Wittenburg Elementary,Northwest Region,Met,100.0,,,,,,
Alleghany County Schools,030,Alleghany County Schools,Northwest Region,,100.0,51.9,57.5,95.0,85.0,88.3,
Alleghany County Schools,030304,Alleghany High,Northwest Region,NotMet,100.0,51.9,57.5,95.0,85.0,88.3,Y
Alleghany County Schools,030308,Glade Creek Elementary,Northwest Region,Met,100.0,,,,,,
Alleghany County Schools,030316,Piney Creek Elementary,Northwest Region,Met,100.0,,,,,,
Alleghany County Schools,030320,Sparta Elementary,Northwest Region,Exceeded,100.0,,,,,,
Anson County Schools,040,Anson County Schools,Southwest Region,,96.3,29.6,26.9,95.0,82.3,87.6,
Anson County Schools,040304,Anson Co. Early College High,Southwest Region,NotMet,100.0,62.7,,95.0,95.0,95.0,Y
Anson County Schools,040305,Anson Academy,Southwest Region,NotMet,100.0,5.0,,95.0,69.0,60.0,Y
Anson County Schools,040306,Anson High School,Southwest Region,Met,95.7,14.6,26.9,95.0,87.6,90.0,Y
Anson County Schools,040308,Ansonville Elementary,Southwest Region,Exceeded,100.0,,,,,,
Anson County Schools,040309,Anson Middle,Southwest Region,NotMet,100.0,,,,,,
Anson County Schools,040311,Wadesboro Primary,Southwest Region,Met,100.0,,,,,,
Anson County Schools,040316,Lilesville Elementary,Southwest Region,Exceeded,100.0,,,,,,
Anson County Schools,040324,Morven Elementary,Southwest Region,Met,100.0,,,,,,
Anson County Schools,040328,Peachland-Polkton Elem,Southwest Region,Exceeded,100.0,,,,,,
Anson County Schools,040330,Wadesboro Elementary,Southwest Region,Met,100.0,,,,,,
Anson County Schools,040700,Anson New Tech High,Southwest Region,NotMet,100.0,33.3,,95.0,84.2,95.0,Y
Ashe County Schools,050,Ashe County Schools,Northwest Region,,97.8,58.7,76.3,94.7,84.0,87.8,
Ashe County Schools,050302,Ashe County High,Northwest Region,NotMet,96.0,58.7,76.3,94.7,84.0,87.8,N
Ashe County Schools,050305,Ashe County Middle,Northwest Region,Met,100.0,,,,,,
Ashe County Schools,050310,Blue Ridge Elementary,Northwest Region,Exceeded,100.0,,,,,,
Ashe County Schools,050330,Mountain View Elementary,Northwest Region,Exceeded,100.0,,,,,,
Ashe County Schools,050335,Westwood Elementary,Northwest Region,Met,100.0,,,,,,
Avery County Schools,060,Avery County Schools,Northwest Region,,100.0,65.2,64.9,95.0,95.0,93.8,
Avery County Schools,060302,Avery County High,Northwest Region,Met,100.0,59.8,63.0,95.0,95.0,95.0,N
Avery County Schools,060304,Banner Elk Elementary,Northwest Region,Exceeded,100.0,,,,,,
Avery County Schools,060310,Cranberry Middle,Northwest Region,Met,100.0,,,,,,
Avery County Schools,060316,Crossnore Elementary,Northwest Region,Exceeded,100.0,,,,,,
Avery County Schools,060318,Avery Middle,Northwest Region,NotMet,100.0,,,,,,
Avery County Schools,060322,Freedom Trail Elementary,Northwest Region,NotMet,100.0,,,,,,
Avery County Schools,060328,Newland Elementary,Northwest Region,Exceeded,100.0,,,,,,
Avery County Schools,060332,Riverside Elementary,Northwest Region,Met,100.0,,,,,,
Avery County Schools,060334,Blue Ridge Academy,Northwest Region,,,,,95.0,86.4,77.8,N
Avery County Schools,060700,Avery High STEM Academy,Northwest Region,Met,100.0,91.7,80.0,95.0,95.0,95.0,N
Avery County Schools,060701,Avery High Viking Academy,Northwest Region,Met,100.0,,,,,,N
Beaufort County Schools,070,Beaufort County Schools,Northeast Region,,100.0,54.7,67.2,95.0,81.3,88.5,
Beaufort County Schools,070302,Eastern Elementary,Northeast Region,,,,,,,,
Beaufort County Schools,070308,Bath Elementary,Northeast Region,Met,100.0,,,,,,
Beaufort County Schools,070310,B C Ed Tech Center,Northeast Region,NotMet,0.0,6.3,,70.4,73.3,72.7,N
Beaufort County Schools,070311,Beaufort Co Early College High,Northeast Region,Exceeded,100.0,88.6,,95.0,95.0,95.0,N
Beaufort County Schools,070325,Chocowinity Middle,Northeast Region,NotMet,100.0,,,,,,
Beaufort County Schools,070326,Chocowinity Primary,Northeast Region,Met,100.0,,,,,,
Beaufort County Schools,070327,John C Tayloe Elementary,Northeast Region,Exceeded,100.0,,,,,,
Beaufort County Schools,070328,John Small Elementary,Northeast Region,Met,100.0,,,,,,
Beaufort County Schools,070329,Northeast Elementary,Northeast Region,Met,100.0,,,,,,
Beaufort County Schools,070330,Northside High,Northeast Region,NotMet,100.0,66.7,82.9,95.0,88.7,89.4,N
Beaufort County Schools,070338,P S Jones Middle,Northeast Region,Exceeded,100.0,,,,,,
Beaufort County Schools,070339,Southside High,Northeast Region,NotMet,100.0,38.4,61.9,93.9,87.9,92.1,N
Beaufort County Schools,070340,S W Snowden Elementary,Northeast Region,Met,100.0,,,,,,
Beaufort County Schools,070342,Washington High,Northeast Region,NotMet,100.0,53.3,56.5,95.0,81.2,89.2,N
Bertie County Schools,080,Bertie County Schools,Northeast Region,,97.7,40.4,32.2,95.0,81.0,86.0,
Bertie County Schools,080311,Bertie Early College High,Northeast Region,Met,100.0,72.7,,95.0,90.9,95.0,Y
Bertie County Schools,080312,Bertie High,Northeast Region,NotMet,90.9,5.0,18.4,95.0,79.8,83.5,Y
Bertie County Schools,080314,Bertie Middle,Northeast Region,Exceeded,100.0,,,,,,
Bertie County Schools,080348,Aulander Elementary,Northeast Region,Exceeded,100.0,,,,,,
Bertie County Schools,080356,West Bertie Elementary,Northeast Region,Met,100.0,,,,,,
Bertie County Schools,080360,Colerain Elementary,Northeast Region,Met,100.0,,,,,,
Bertie County Schools,080362,Windsor Elementary,Northeast Region,Exceeded,100.0,,,,,,
Bertie County Schools,080700,Bertie STEM High,Northeast Region,NotMet,100.0,68.8,,95.0,95.0,95.0,Y
Bladen County Schools,090,Bladen County Schools,SandHills Region,,100.0,38.9,60.4,95.0,86.5,82.1,
Bladen County Schools,090304,B T Washington Primary,SandHills Region,Met,100.0,,,,,,
Bladen County Schools,090315,Bladenboro Middle,SandHills Region,NotMet,100.0,,,,,,
Bladen County Schools,090317,Bladenboro Primary,SandHills Region,NotMet,100.0,,,,,,
Bladen County Schools,090318,Bladen Lakes Primary,SandHills Region,Met,100.0,,,,,,
Bladen County Schools,090320,Clarkton School of Discovery,SandHills Region,Met,100.0,,,,,,
Bladen County Schools,090324,Dublin Primary,SandHills Region,NotMet,100.0,,,,,,
Bladen County Schools,090328,East Arcadia Elementary,SandHills Region,Met,100.0,,,,,,
Bladen County Schools,090330,East Bladen High,SandHills Region,NotMet,100.0,37.1,58.8,95.0,90.1,81.9,N
Bladen County Schools,090332,Elizabethtown Middle,SandHills Region,Exceeded,100.0,,,,,,
Bladen County Schools,090333,Elizabethtown Primary,SandHills Region,Exceeded,100.0,,,,,,
Bladen County Schools,090352,Plain View Primary,SandHills Region,Met,100.0,,,,,,
Bladen County Schools,090365,Tar Heel Middle,SandHills Region,Exceeded,100.0,,,,,,
Bladen County Schools,090368,West Bladen High,SandHills Region,Met,100.0,40.7,61.4,95.0,84.3,82.6,N
Brunswick County Schools,100,Brunswick County Schools,Southeast Region,,95.9,59.3,67.6,95.0,82.8,84.9,
Brunswick County Schools,100302,Belville Elementary,Southeast Region,Met,100.0,,,,,,
Brunswick County Schools,100304,Bolivia Elementary,Southeast Region,NotMet,100.0,,,,,,
Brunswick County Schools,100307,Brunswick County Early College,Southeast Region,Exceeded,100.0,95.0,,95.0,95.0,95.0,Y
Brunswick County Schools,100308,Brunswick County Academy,Southeast Region,NotMet,60.0,18.2,,93.3,41.9,47.6,Y
Brunswick County Schools,100309,Cedar Grove Middle,Southeast Region,NotMet,100.0,,,,,,
Brunswick County Schools,100310,Jessie Mae Monroe Elementary,Southeast Region,NotMet,100.0,,,,,,
Brunswick County Schools,100316,Leland Middle,Southeast Region,NotMet,100.0,,,,,,
Brunswick County Schools,100320,Lincoln Elementary,Southeast Region,Met,100.0,,,,,,
Brunswick County Schools,100326,North Brunswick High,Southeast Region,Exceeded,100.0,48.6,52.6,95.0,79.4,87.1,Y
Brunswick County Schools,100332,Shallotte Middle,Southeast Region,Met,100.0,,,,,,
Brunswick County Schools,100334,South Brunswick High,Southeast Region,Exceeded,96.6,56.8,74.5,95.0,84.0,86.9,Y
Brunswick County Schools,100335,South Brunswick Middle,Southeast Region,Exceeded,100.0,,,,,,
Brunswick County Schools,100336,Southport Elementary,Southeast Region,Met,100.0,,,,,,
Brunswick County Schools,100338,Supply Elementary,Southeast Region,Met,100.0,,,,,,
Brunswick County Schools,100339,Town Creek Elementary,Southeast Region,NotMet,100.0,,,,,,
Brunswick County Schools,100340,Union Elementary,Southeast Region,Exceeded,100.0,,,,,,
Brunswick County Schools,100342,Virginia Williamson Elem,Southeast Region,NotMet,100.0,,,,,,
Brunswick County Schools,100344,Waccamaw,Southeast Region,Exceeded,100.0,,,,,,
Brunswick County Schools,100348,West Brunswick High,Southeast Region,Exceeded,94.7,63.0,72.8,95.0,88.2,82.7,Y
Buncombe County Schools,110,Buncombe County Schools,Western Region,,94.4,60.6,78.5,95.0,85.7,88.0,
Buncombe County Schools,110303,Community High School,Western Region,NotMet,66.7,5.0,33.3,93.8,65.1,70.4,Y
Buncombe County Schools,110304,Reynolds High,Western Region,Met,100.0,69.6,81.2,95.0,92.8,92.7,Y
Buncombe County Schools,110306,Reynolds Middle,Western Region,Met,100.0,,,,,,
Buncombe County Schools,110308,Barnardsville Elementary,Western Region,Met,100.0,,,,,,
Buncombe County Schools,110318,Black Mountain Elementary,Western Region,Met,100.0,,,,,,
Buncombe County Schools,110320,Black Mountain Primary,Western Region,Met,100.0,,,,,,
Buncombe County Schools,110322,Early College,Western Region,Met,100.0,94.8,,95.0,95.0,95.0,Y
Buncombe County Schools,110323,Middle College,Western Region,,,68.0,93.3,95.0,92.3,74.5,Y
Buncombe County Schools,110324,Candler Elementary,Western Region,Met,100.0,,,,,,
Buncombe County Schools,110326,Cane Creek Middle,Western Region,Met,100.0,,,,,,
Buncombe County Schools,110332,Bell Elementary,Western Region,Met,100.0,,,,,,
Buncombe County Schools,110336,Owen High,Western Region,Exceeded,100.0,56.3,80.9,95.0,87.2,90.3,Y
Buncombe County Schools,110338,Owen Middle,Western Region,Met,100.0,,,,,,
Buncombe County Schools,110340,Erwin High,Western Region,Met,91.7,41.5,64.2,95.0,79.4,85.6,Y
Buncombe County Schools,110342,Erwin Middle,Western Region,Met,100.0,,,,,,
Buncombe County Schools,110348,Emma Elementary,Western Region,Exceeded,100.0,,,,,,
Buncombe County Schools,110352,Enka High,Western Region,NotMet,84.8,63.3,80.4,95.0,83.6,84.4,Y
Buncombe County Schools,110356,Fairview Elementary,Western Region,Exceeded,100.0,,,,,,
Buncombe County Schools,110366,Glen Arden Elementary,Western Region,Met,100.0,,,,,,
Buncombe County Schools,110368,Haw Creek Elementary,Western Region,Met,100.0,,,,,,
Buncombe County Schools,110370,Hominy Valley Elementary,Western Region,Met,100.0,,,,,,
Buncombe County Schools,110372,Johnston Elementary,Western Region,Exceeded,100.0,,,,,,
Buncombe County Schools,110376,Leicester Elementary,Western Region,Met,100.0,,,,,,
Buncombe County Schools,110379,North Buncombe Elementary,Western Region,Met,100.0,,,,,,
Buncombe County Schools,110380,North Buncombe High,Western Region,Exceeded,86.2,59.0,86.7,95.0,89.9,91.1,Y
Buncombe County Schools,110381,North Buncombe Middle,Western Region,NotMet,100.0,,,,,,
Buncombe County Schools,110382,North Windy Ridge Intermediate,Western Region,Exceeded,100.0,,,,,,
Buncombe County Schools,110384,Oakley Elementary,Western Region,Exceeded,100.0,,,,,,
Buncombe County Schools,110388,Pisgah Elementary,Western Region,Met,100.0,,,,,,
Buncombe County Schools,110401,Enka Middle,Western Region,NotMet,100.0,,,,,,
Buncombe County Schools,110408,Sand Hill-Venable Elem,Western Region,Met,100.0,,,,,,
Buncombe County Schools,110410,Avery's Creek Elementary,Western Region,Met,100.0,,,,,,
Buncombe County Schools,110412,Williams Elementary,Western Region,Met,100.0,,,,,,
Buncombe County Schools,110416,Roberson High,Western Region,Met,100.0,67.1,86.1,95.0,92.8,94.7,Y
Buncombe County Schools,110420,Valley Springs Middle,Western Region,Exceeded,100.0,,,,,,
Buncombe County Schools,110422,Estes Elementary,Western Region,NotMet,100.0,,,,,,
Buncombe County Schools,110428,Weaverville Elementary,Western Region,NotMet,100.0,,,,,,
Buncombe County Schools,110432,Weaverville Primary,Western Region,,,,,,,,
Buncombe County Schools,110436,West Buncombe Elementary,Western Region,Exceeded,100.0,,,,,,
Buncombe County Schools,110444,Woodfin Elementary,Western Region,Met,100.0,,,,,,
Buncombe County Schools,110450,Koontz Intermediate,Western Region,Met,100.0,,,,,,
Buncombe County Schools,110451,Eblen Intermediate,Western Region,Met,100.0,,,,,,
Buncombe County Schools,110500,Nesbitt Discovery Academy,Western Region,Met,100.0,,,,,,
Asheville City Schools,111,Asheville City Schools,Western Region,,98.4,76.5,81.4,95.0,85.4,87.2,
Asheville City Schools,111302,Asheville High,Western Region,NotMet,93.9,71.8,80.4,95.0,83.9,85.5,Y
Asheville City Schools,111304,Hall Fletcher Elementary,Western Region,Met,100.0,,,,,,
Asheville City Schools,111306,Isaac Dickson Elementary,Western Region,Met,100.0,,,,,,
Asheville City Schools,111312,Claxton Elementary,Western Region,NotMet,100.0,,,,,,
Asheville City Schools,111332,Ira B Jones Elementary,Western Region,NotMet,100.0,,,,,,
Asheville City Schools,111356,Asheville Middle,Western Region,Met,100.0,,,,,,
Asheville City Schools,111360,Vance Elementary,Western Region,Met,100.0,,,,,,
Asheville City Schools,111700,School of Inquiry and Life Sciences,Western Region,Exceeded,100.0,93.9,,95.0,93.4,95.0,Y
Burke County Schools,120,Burke County Schools,Northwest Region,,98.8,59.5,63.3,95.0,91.3,90.9,
Burke County Schools,120304,Chesterfield Elementary,Northwest Region,Met,100.0,,,,,,
Burke County Schools,120308,Hallyburton Academy,Northwest Region,NotMet,100.0,6.7,,79.7,88.4,73.6,Y
Burke County Schools,120310,Burke Middle College,Northwest Region,,100.0,95.0,,95.0,95.0,95.0,Y
Burke County Schools,120312,Drexel Elementary,Northwest Region,Exceeded,100.0,,,,,,
Burke County Schools,120314,East Burke High,Northwest Region,NotMet,100.0,50.5,59.5,95.0,89.5,91.7,Y
Burke County Schools,120315,East Burke Middle,Northwest Region,Exceeded,100.0,,,,,,
Burke County Schools,120316,Forest Hill Elementary,Northwest Region,NotMet,100.0,,,,,,
Burke County Schools,120318,Freedom High,Northwest Region,NotMet,100.0,56.4,69.3,95.0,92.7,92.5,Y
Burke County Schools,120320,George Hildebrand Elementary,Northwest Region,Met,100.0,,,,,,
Burke County Schools,120324,Glen Alpine Elementary,Northwest Region,Met,100.0,,,,,,
Burke County Schools,120334,Heritage Middle,Northwest Region,Met,100.0,,,,,,
Burke County Schools,120338,Hildebran Elementary,Northwest Region,NotMet,100.0,,,,,,
Burke County Schools,120340,Mountain Crest Elementary,Northwest Region,Exceeded,100.0,,,,,,
Burke County Schools,120344,Icard Elementary,Northwest Region,Exceeded,100.0,,,,,,
Burke County Schools,120346,Jimmy C Draughn High School,Northwest Region,Met,100.0,67.3,67.3,95.0,95.0,93.1,Y
Burke County Schools,120350,Liberty Middle,Northwest Region,NotMet,100.0,,,,,,
Burke County Schools,120352,North Liberty,Northwest Region,,100.0,,,,,,N
Burke County Schools,120360,Mull Elementary,Northwest Region,Exceeded,100.0,,,,,,
Burke County Schools,120364,Oak Hill Elementary,Northwest Region,Met,100.0,,,,,,
Burke County Schools,120368,Ray Childers Elementary,Northwest Region,NotMet,100.0,,,,,,
Burke County Schools,120370,Robert L. Patton High School,Northwest Region,Met,100.0,56.9,55.3,95.0,95.0,95.0,Y
Burke County Schools,120372,Rutherford College Elem,Northwest Region,Exceeded,100.0,,,,,,
Burke County Schools,120374,Salem Elementary,Northwest Region,Met,100.0,,,,,,
Burke County Schools,120376,Table Rock Middle,Northwest Region,NotMet,100.0,,,,,,
Burke County Schools,120380,Valdese Elementary,Northwest Region,Met,100.0,,,,,,
Burke County Schools,120386,W A Young Elementary,Northwest Region,NotMet,100.0,,,,,,
Burke County Schools,120390,Walter R Johnson Middle,Northwest Region,Exceeded,100.0,,,,,,
Cabarrus County Schools,130,Cabarrus County Schools,Southwest Region,,95.5,64.9,76.9,95.0,89.5,91.4,
Cabarrus County Schools,130304,A T Allen Elementary,Southwest Region,Exceeded,100.0,,,,,,
Cabarrus County Schools,130307,Cox Mill High School,Southwest Region,Met,90.6,75.9,81.0,95.0,95.0,95.0,N
Cabarrus County Schools,130308,Bethel Elementary,Southwest Region,Met,100.0,,,,,,
Cabarrus County Schools,130309,Beverly Hills Elementary,Southwest Region,NotMet,100.0,,,,,,
Cabarrus County Schools,130310,Central Cabarrus High,Southwest Region,Met,92.5,55.4,78.9,95.0,92.7,95.0,N
Cabarrus County Schools,130311,Coltrane-Webb Elementary,Southwest Region,Exceeded,100.0,,,,,,
Cabarrus County Schools,130312,Harrisburg Elementary,Southwest Region,Met,100.0,,,,,,
Cabarrus County Schools,130313,Concord Middle,Southwest Region,Met,100.0,,,,,,
Cabarrus County Schools,130314,Concord High,Southwest Region,NotMet,100.0,59.1,69.6,95.0,81.5,87.6,N
Cabarrus County Schools,130315,J N Fries Magnet School,Southwest Region,NotMet,100.0,,,,,,
Cabarrus County Schools,130316,Jay M Robinson High,Southwest Region,NotMet,97.4,50.0,64.3,95.0,84.9,89.7,N
Cabarrus County Schools,130317,Cabarrus Co Opportunity School,Southwest Region,,,,,,,,N
Cabarrus County Schools,130318,C C Griffin Middle,Southwest Region,Exceeded,100.0,,,,,,
Cabarrus County Schools,130319,Cox Mill Elementary,Southwest Region,Met,100.0,,,,,,
Cabarrus County Schools,130320,Harris Road Middle,Southwest Region,Exceeded,100.0,,,,,,
Cabarrus County Schools,130321,Carl A Furr Elementary,Southwest Region,NotMet,100.0,,,,,,
Cabarrus County Schools,130322,Mount Pleasant Elementary,Southwest Region,Exceeded,100.0,,,,,,
Cabarrus County Schools,130323,Mount Pleasant Middle,Southwest Region,Met,100.0,,,,,,
Cabarrus County Schools,130324,Mount Pleasant High,Southwest Region,NotMet,100.0,56.5,60.5,95.0,89.3,91.2,N
Cabarrus County Schools,130325,Charles E Boger Elementary,Southwest Region,Met,100.0,,,,,,
Cabarrus County Schools,130326,Northwest Cabarrus High,Southwest Region,Exceeded,86.8,62.9,86.8,95.0,95.0,95.0,N
Cabarrus County Schools,130327,Northwest Cabarrus Middle,Southwest Region,Met,100.0,,,,,,
Cabarrus County Schools,130328,Royal Oaks Elementary,Southwest Region,Met,100.0,,,,,,
Cabarrus County Schools,130329,Rocky River Elementary,Southwest Region,Met,100.0,,,,,,
Cabarrus County Schools,130330,R Brown McAllister Elementary,Southwest Region,Exceeded,100.0,,,,,,
Cabarrus County Schools,130331,Pitts School Road Elementary,Southwest Region,NotMet,100.0,,,,,,
Cabarrus County Schools,130332,Hickory Ridge High,Southwest Region,Met,97.3,80.2,88.4,95.0,95.0,95.0,N
Cabarrus County Schools,130333,Performance Learning Center,Southwest Region,Met,40.0,35.5,56.5,75.8,84.1,91.2,N
Cabarrus County Schools,130336,W R Odell Elementary,Southwest Region,NotMet,100.0,,,,,,
Cabarrus County Schools,130338,Weddington Hills Elementary,Southwest Region,Met,100.0,,,,,,
Cabarrus County Schools,130340,Winecoff Elementary,Southwest Region,NotMet,100.0,,,,,,
Cabarrus County Schools,130342,W M Irvin Elementary,Southwest Region,Met,100.0,,,,,,
Cabarrus County Schools,130344,Wolf Meadow Elementary,Southwest Region,Met,100.0,,,,,,
Cabarrus County Schools,130345,Patriots Elementary,Southwest Region,Met,100.0,,,,,,
Cabarrus County Schools,130346,Hickory Ridge Middle,Southwest Region,Exceeded,100.0,,,,,,
Cabarrus County Schools,130350,Cabarrus-Kannapolis Early Coll,Southwest Region,Met,100.0,94.7,,95.0,95.0,95.0,N
Cabarrus County Schools,130355,Harold E. Winkler Middle,Southwest Region,Met,100.0,,,,,,
Kannapolis City Schools,132,Kannapolis City Schools,Southwest Region,,92.8,47.8,72.1,95.0,82.3,86.4,
Kannapolis City Schools,132304,A L Brown High,Southwest Region,NotMet,87.5,47.8,72.1,95.0,82.3,86.4,Y
Kannapolis City Schools,132308,Forest Park Elementary,Southwest Region,Exceeded,100.0,,,,,,
Kannapolis City Schools,132312,Fred L Wilson Elementary,Southwest Region,NotMet,100.0,,,,,,
Kannapolis City Schools,132328,Jackson Park Elementary,Southwest Region,Exceeded,100.0,,,,,,
Kannapolis City Schools,132329,Kannapolis Intermediate,Southwest Region,Met,100.0,,,,,,
Kannapolis City Schools,132330,Kannapolis Middle,Southwest Region,Met,100.0,,,,,,
Kannapolis City Schools,132332,Shady Brook Elementary,Southwest Region,Met,100.0,,,,,,
Kannapolis City Schools,132336,Woodrow Wilson Elementary,Southwest Region,Met,100.0,,,,,,
Caldwell County Schools,140,Caldwell County Schools,Northwest Region,,100.0,60.4,80.3,95.0,90.8,90.6,
Caldwell County Schools,140304,Baton Elementary,Northwest Region,Exceeded,100.0,,,,,,
Caldwell County Schools,140305,Caldwell Career Cen Mid. Coll.,Northwest Region,Met,100.0,88.5,95.0,95.0,95.0,93.8,N
Caldwell County Schools,140306,Gateway School,Northwest Region,Met,,,,,,,N
Caldwell County Schools,140307,Horizons Elementary,Northwest Region,Met,,,,,,,
Caldwell County Schools,140308,Collettsville School,Northwest Region,Exceeded,100.0,,,,,,
Caldwell County Schools,140309,Caldwell Early College,Northwest Region,Met,100.0,94.5,,95.0,95.0,95.0,N
Caldwell County Schools,140312,Davenport A+ School,Northwest Region,Met,100.0,,,,,,
Caldwell County Schools,140316,Dudley Shoals Elementary,Northwest Region,Met,100.0,,,,,,
Caldwell County Schools,140324,Gamewell Elementary,Northwest Region,Met,100.0,,,,,,
Caldwell County Schools,140332,Gamewell Middle,Northwest Region,Exceeded,100.0,,,,,,
Caldwell County Schools,140336,Granite Falls Middle,Northwest Region,Met,100.0,,,,,,
Caldwell County Schools,140340,Granite Falls Elementary,Northwest Region,Exceeded,100.0,,,,,,
Caldwell County Schools,140344,Happy Valley Elementary,Northwest Region,Met,100.0,,,,,,
Caldwell County Schools,140348,Hibriten High,Northwest Region,NotMet,100.0,52.6,73.9,95.0,91.9,91.0,N
Caldwell County Schools,140352,Hudson Elementary,Northwest Region,Exceeded,100.0,,,,,,
Caldwell County Schools,140356,Hudson Middle,Northwest Region,Met,100.0,,,,,,
Caldwell County Schools,140360,Kings Creek Elementary,Northwest Region,Met,100.0,,,,,,
Caldwell County Schools,140368,William Lenoir Middle,Northwest Region,Exceeded,100.0,,,,,,
