,reporting_year,school_code,grade_span,title_1,subgroup,subject,den,total_pct,school_name
0,2019,600302,09-12,,ALL,ACT,747,85.1,Ardrey Kell High School
1,2019,600302,09-12,,FEM,ACT,394,84.8,Ardrey Kell High School
2,2019,600302,09-12,,MALE,ACT,353,85.6,Ardrey Kell High School
3,2019,600302,09-12,,ASIA,ACT,149,95,Ardrey Kell High School
4,2019,600302,09-12,,BLCK,ACT,90,65.6,Ardrey Kell High School
5,2019,600302,09-12,,HISP,ACT,69,63.8,Ardrey Kell High School
6,2019,600302,09-12,,MULT,ACT,18,77.8,Ardrey Kell High School
7,2019,600302,09-12,,WHTE,ACT,421,89.1,Ardrey Kell High School
8,2019,600302,09-12,,EDS,ACT,74,58.1,Ardrey Kell High School
9,2019,600302,09-12,,ELS,ACT,18,50,Ardrey Kell High School
10,2019,600302,09-12,,SWD,ACT,29,34.5,Ardrey Kell High School
11,2019,600302,09-12,,AIG,ACT,147,95,Ardrey Kell High School
12,2019,600302,09-12,,NEDS,ACT,673,88.1,Ardrey Kell High School
13,2019,600302,09-12,,NSWD,ACT,718,87.2,Ardrey Kell High School
14,2019,600302,09-12,,ALL,ACT4B,747,43,Ardrey Kell High School
15,2019,600302,09-12,,FEM,ACT4B,394,39.3,Ardrey Kell High School
16,2019,600302,09-12,,MALE,ACT4B,353,47,Ardrey Kell High School
17,2019,600302,09-12,,ASIA,ACT4B,149,71.1,Ardrey Kell High School
18,2019,600302,09-12,,BLCK,ACT4B,90,13.3,Ardrey Kell High School
19,2019,600302,09-12,,HISP,ACT4B,69,20.3,Ardrey Kell High School
20,2019,600302,09-12,,MULT,ACT4B,18,27.8,Ardrey Kell High School
21,2019,600302,09-12,,WHTE,ACT4B,421,43.7,Ardrey Kell High School
22,2019,600302,09-12,,EDS,ACT4B,74,13.5,Ardrey Kell High School
23,2019,600302,09-12,,ELS,ACT4B,18,5.6,Ardrey Kell High School
24,2019,600302,09-12,,SWD,ACT4B,29,5,Ardrey Kell High School
25,2019,600302,09-12,,AIG,ACT4B,147,86.4,Ardrey Kell High School
26,2019,600302,09-12,,NEDS,ACT4B,673,46.2,Ardrey Kell High School
